Surname,Given Name,Party,Federal funds,Individual contributions,Party contributions,Committee contributions,Candidate contributions,Other loans,Transfers,Offsets,Other receipts,Total,Percent individual
Clinton,Hillary,Democrat,0.0,231158512.33,1000.0,1339118.32,997159.15,0.0,33940000.0,7073044.01,32863.96,274541697.77,0.8419796125966095
Sanders,Bernard,Democrat,0.0,230670405.61,0.0,5621.92,0.0,0.0,1500000.0,3202486.1,44028.81,235422542.44,0.9798144358618032
Cruz,Rafael,Republican,0.0,92111063.05,0.0,101095.14,0.0,0.0,250012.93,154093.55,8086.38,92624351.05,0.9944583903241285
Trump,Donald,Republican,0.0,36959857.71,57.62,0.0,49950643.36,0.0,2201313.93,2186237.76,0.0,91298110.38,0.40482609723428103
Carson,Benjamin,Republican,0.0,63461402.63,0.0,5588.29,25000.0,0.0,0.0,102499.71,649470.63,64243961.26,0.9878189542697574
Rubio,Marco,Republican,0.0,45361828.44,101.68,455970.75,0.0,0.0,662431.58,456260.05,595102.6,47531697.1,0.9543490177631381
Bush,Jeb,Republican,0.0,33589053.88,0.0,230317.05,795703.65,0.0,0.0,750658.19,50000.0,35415732.77,0.9484218242253244
Kasich,John,Republican,0.0,19053420.27,0.0,275870.62,0.0,0.0,0.0,107196.83,9966.0,19446453.72,0.9797889396360335
Paul,Rand,Republican,0.0,10229322.2,0.0,47171.17,0.0,0.0,1735263.26,31997.57,212501.08,12256255.28,0.8346205236678131
Fiorina,Carly,Republican,0.0,12045837.88,0.0,20925.0,0.0,0.0,0.0,13298.08,39506.11,12119567.07,0.9939165161945014
Christie,Christopher,Republican,0.0,8432628.83,0.0,115738.02,0.0,0.0,0.0,193218.94,0.0,8741585.79,0.964656646125531
Walker,Scott,Republican,0.0,8210189.65,0.0,53100.0,0.0,0.0,0.0,64726.19,350529.12,8678544.96,0.9460329684113314
O'Malley,Martin,Democrat,1088929.29,4573815.32,0.0,115002.01,0.0,500000.0,0.0,60471.44,0.0,6338218.06,0.7216247968597029
Graham,Lindsey,Republican,0.0,3741437.16,0.0,71750.0,0.0,0.0,1975000.0,35792.38,8730.32,5832709.86,0.6414577871699587
Huckabee,Mike,Republican,0.0,4273303.99,0.0,33000.0,12000.0,0.0,0.0,8499.61,0.0,4326803.6,0.987635304269415
Santorum,Richard,Republican,0.0,1364537.19,0.0,7350.0,24000.0,0.0,0.0,12978.55,75237.29,1484103.03,0.9194356203153901
Jindal,Bobby,Republican,0.0,1432463.52,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,1442463.52,0.9930674156667754
Johnson,Gary,Libertarian,0.0,1358671.44,239.0,5000.0,20.0,0.0,0.0,26.4,0.0,1363956.84,0.9961249506985865
Stein,Jill,Green,196924.35,624696.01,0.0,0.0,40000.0,0.0,0.0,491.18,0.0,862111.54,0.7246115856423868
Webb,James,Democrat,0.0,771578.43,0.0,5000.0,0.0,0.0,0.0,250.0,0.0,776828.43,0.9932417509487906
Pataki,George,Republican,0.0,510327.35,0.0,1000.0,20000.0,0.0,0.0,15935.2,0.0,547262.55,0.9325091768110205
Gilmore,James,Republican,0.0,104395.95,0.0,2000.0,279075.0,0.0,0.0,1790.49,0.0,387261.44,0.26957486394720837
Lessig,Lawrence,Democrat,0.0,181812.0,0.0,0.0,32000.0,0.0,0.0,6443.0,0.0,220255.0,0.8254613970170939
